maximum error = 0.0003
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.1075	0.1697	0.633471
10	0.2149	0.2333	0.921132
50	2.304	8.7968	0.261913
100	7.2942	21.8603	0.333673
200	32.9831	134.923	0.244458
500	89.7726	1686.99	0.0532148
800	157.067	3063.05	0.051278
1000	201.062	4484.6	0.0448338
1500	364.484	10368.3	0.0351536
2000	591.687	14774.5	0.0400478
2500	695.681	16597.6	0.0419144
3500	998.31	128.031	7.79744
5000	2034.21	259.965	7.82494
6500	2909.45	308.511	9.43062
8500	5297.22	609.995	8.68403
10000	6801.21	843.031	8.06757
