maximum error = 0.02
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.0673	0.1128	0.596631
10	0.1463	0.1034	1.41489
50	0.65	0.1358	4.78645
100	1.5453	0.2415	6.39876
200	5.7449	0.6885	8.34408
500	28.1477	2.9089	9.67641
800	61.3892	6.9998	8.77014
1000	129.375	11.0379	11.721
1500	212.096	22.2626	9.52701
2000	312.493	31.1004	10.0479
2500	442.296	45.5932	9.70091
3500	899.164	113.183	7.94436
5000	1690.49	176.945	9.55374
6500	3151.34	335.788	9.38493
8500	5417.09	648.905	8.34805
10000	7984.67	1165.49	6.8509
