maximum error = 0.0004
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.0664	0.1554	0.427284
10	0.2134	0.2834	0.752999
50	2.344	6.6171	0.354234
100	14.1743	66.0164	0.214709
200	29.4466	149.683	0.196727
500	111.108	1209.37	0.091873
800	147.634	2288.1	0.0645226
1000	220.649	3250.05	0.0678909
1500	409.856	6503.5	0.0630209
2000	462.08	7762.65	0.059526
2500	865.408	92.789	9.32662
3500	1096.64	165.046	6.64444
5000	1862.94	179.993	10.3501
6500	3083.03	319.882	9.63802
8500	5144.96	659.132	7.80565
10000	6982.57	841.551	8.29727
