maximum error = 0.001
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.1671	0.1714	0.974912
10	0.2089	0.2348	0.889693
50	1.6165	2.3711	0.681751
100	5.4127	10.5721	0.51198
200	14.2855	52.967	0.269706
500	56.3705	395.413	0.142561
800	74.0909	527.991	0.140326
1000	94.8982	14.9438	6.35034
1500	201.573	31.3804	6.42354
2000	307.476	35.4952	8.66248
2500	448.82	58.9707	7.61089
3500	899.407	115.911	7.75948
5000	1762.19	212.421	8.29572
6500	3024.92	345.578	8.7532
8500	5101.59	648.368	7.86836
10000	7437.88	1053.48	7.06029
