maximum error = 0.005
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.0796	0.1921	0.414368
10	0.163	0.3079	0.529393
50	1.0532	4.73	0.222664
100	3.1782	8.3669	0.379854
200	6.1299	1.2126	5.05517
500	25.85	2.5212	10.2531
800	66.6896	6.9212	9.63555
1000	102.583	13.5718	7.55856
1500	210.247	18.7925	11.1878
2000	290.848	28.9928	10.0317
2500	449.407	66.9888	6.70869
3500	857.811	90.6338	9.46458
5000	1735.9	171.454	10.1246
6500	2821.9	382.976	7.36835
8500	5063.89	591.463	8.56162
10000	6913.17	773.742	8.93472
